Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,Linear Regression,LinearFIPValue0.02,0.0623797874696432,0.0412117361943766,0.0038912378847578,0.7815793200216369
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0362413895574776,0.0242544663408313,0.0013134383170568,0.9279622949689128
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,Elastic Net Regression,ElasticFIForwardSelection,0.0494706415527036,0.0342855764214335,0.002447344375636,0.8657713347082663
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,Lasso Regression,LassoFIFValue1000,0.0508697587368408,0.0371790819396633,0.0025877323539443,0.8580715229699076
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,Linear Regression,LinearFIFValue1000,0.0508725283464552,0.0371838632933219,0.0025880141403608,0.8580560679260807
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,Ridge Regression,RidgeFIForwardSelection,0.0561135417006607,0.0406498524987552,0.0031487295621917,0.8273026997323254
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0504159209661124,0.0314935336175992,0.0025417650868612,0.943054482437728
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,Lasso Regression,LassoFIFValue1000,0.0904369606773727,0.0737489900127496,0.0081788438565606,0.8167617853906448
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,Ridge Regression,RidgeFIFValue1000,0.113134208428907,0.0868874401320276,0.0127993491168353,0.7132443262809773
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,Elastic Net Regression,ElasticFIFValue1000,0.1306829672789199,0.101288672273313,0.0170780379368232,0.6173848974920679
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,Linear Regression,LinearFIForwardSelection,0.1311682428974775,0.0942080781289983,0.0172051079448116,0.6145380304039383
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext1Months,Lasso Regression,LassoFIForwardSelection,0.0240344649314513,0.016640640345404,0.0005776555045411,0.8337296897521863
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext1Months,Elastic Net Regression,ElasticFIForwardSelection,0.0241149215759417,0.0169325426773408,0.0005815294426138,0.8326146291664956
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext1Months,Linear Regression,LinearFIForwardSelection,0.0241804920781271,0.0170624024531399,0.0005846961971403,0.8317031217828238
