Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Sanofi India Ltd.,500674,270,0.01493562133333334,-0.09772680945448554,0.28529797370232846,0.013476010713206324 to 0.01919672383571861
L&T Finance Holdings Ltd.,533519,270,0.014562665271966526,-0.30817211178393467,0.3093543117008578,0.010074857961902035 to 0.019067688563705717
Engineers India Ltd.,532178,270,0.014368095460614147,-0.05567886996073235,0.0987956408433486,0.013568096141879224 to 0.01578760065934393
HFCL Ltd.,500183,270,0.013452425219312841,-0.13938663852499494,0.14368523703417943,0.011577336887983958 to 0.01538534012563438
Balmer Lawrie & Co. Ltd.,523319,270,0.012965094984465159,-0.06767865225035806,0.014836712582311,0.01208763482961868 to 0.01315745437235203
Spicejet Ltd.,500285,270,0.012464441136671186,-0.471745359320885,0.37775440474191657,0.006584398873918217 to 0.017172938678695068
EPL Ltd.,500135,270,0.011867216689098252,-0.154278276109686,0.2650236487953618,0.010036362956084078 to 0.015012309757088282
Cochin Shipyard Ltd.,540678,270,0.011458675675675696,-0.24987941650010548,0.11278074842072079,0.008595388483973902 to 0.01275099369428871
Torrent Power Ltd.,532779,270,0.011051489319092115,-0.22763785879884843,0.1213217920675219,0.008535751953955643 to 0.012392275808299446
Muthoot Finance Ltd.,533398,270,0.010626374007936512,0.010626374007936512,0.1183426742548333,0.010626374007936512 to 0.011883927525667769
Rallis India Ltd.,500355,270,0.010363187749667113,-0.035812255373972965,0.08549922977735155,0.009992058623487607 to 0.011249232320301736
MMTC Ltd.,513377,270,0.010140275837988827,-0.12303929847829673,0.15642816580741745,0.008892623412506259 to 0.011726500588106691
Glaxosmithkline Pharmaceuticals Ltd.,500660,270,0.009042609921311087,-0.0723327863658426,0.08843989687759196,0.008388532749683243 to 0.009842337410256129
Petronet LNG Ltd.,532522,270,0.008760580666666662,-0.031060766996263065,0.02466549770961917,0.008488470311827362 to 0.008976664749035263
Berger Paints India Ltd.,509480,270,0.008534273092369479,-0.1422189168851356,0.05863317260688709,0.007320538016770735 to 0.009034664599668691
Hawkins Cookers Ltd.,508486,270,0.00780621400000002,-0.08497967311725728,0.14103591236668056,0.00714284448599666 to 0.008907170513619576
Quess Corp Ltd.,539978,270,0.007604416371719583,0.007604416371719583,0.1005706956257349,0.007604416371719583 to 0.008369197816051149
Vaibhav Global Ltd.,532156,270,0.006577793315143264,-0.03511948484098352,0.043837302023756165,0.006346784602524968 to 0.006866146027349043
Grindwell Norton Ltd.,506076,270,0.006010146029609685,0.006010146029609685,0.537016432064153,0.006010146029609685 to 0.009237693206615213
Vinati Organics Ltd.,524200,270,0.005523530997304586,-0.23195017037075444,0.16246649061795768,0.004242347041431643 to 0.006420919694256169
Bajaj Auto Ltd,532977,270,0.003946117897727271,-0.03860875362984308,0.0820219816901658,0.0037937632040196045 to 0.004269786307681892
Power Grid Corporation of India Ltd.,532898,270,0.0036951732605729837,0.0036951732605729837,0.13475976669997577,0.0036951732605729837 to 0.004193133947083788
Ratnamani Metals & Tubes Ltd.,520111,270,0.003639236054421771,-0.13735206660953467,0.13696266405270077,0.0031393794614670116 to 0.004137675519552016
Gujarat Mineral Devp. Corpn. Ltd.,532181,270,0.003529627345844503,-0.03943174603666463,0.0700471133240306,0.0033904479767390954 to 0.00377686755253047
Container Corpn. Of India Ltd.,531344,270,0.003177911140583547,-0.06947551692442207,0.16611611560219597,0.002957124121351625 to 0.0037058133949862296
Ipca Laboratories Ltd.,524494,270,0.00258772569906791,-0.02984825432816852,0.09693432738824928,0.0025104866042705933 to 0.0028385651491723445
Divi's Laboratories Ltd.,532488,270,0.0023021094008472153,-0.040937655427312605,0.4379025823974654,0.002207866439439355 to 0.0033102090524396925
Maruti Suzuki India Ltd.,532500,270,0.0018570590185676395,0.0018570590185676395,0.013562471576868336,0.0018570590185676395 to 0.00188224532872353
Relaxo Footwears Ltd.,530517,270,0.001754264166217059,0.001754264166217059,0.8522642656594586,0.001754264166217059 to 0.003249360827610743
