Company,Security Id,Average Returns %
Shriram Transport Finance Co. Ltd.,511218,0.0
Vardhman Textiles Ltd.,502986,0.0
Phoenix Mills Ltd.,503100,0.0
Can Fin Homes Ltd.,511196,0.0
VST Industries Ltd.,509966,0.0
Supreme Industries Ltd.,509930,0.0
Swan Energy Ltd.,503310,0.0
HEG Ltd.,509631,0.0
SRF Ltd.,503806,0.0
Zensar Technologies Ltd.,504067,0.0
Cholamandalam Financial Holdings Ltd.,504973,0.0
Grindwell Norton Ltd.,506076,0.0
Narayana Hrudayalaya Ltd.,539551,-0.000265
Tube Investments Of India Ltd.,540762,-0.002176499999999942
Maruti Suzuki India Ltd.,532500,-0.0025525
Dhanuka Agritech Ltd.,507717,-0.003941500000000087
Canara Bank,532483,-0.012655999999999912
Jagran Prakashan Ltd.,532705,-0.01284
KNR Constructions Ltd.,532942,-0.01384
South Indian Bank Ltd.,532218,-0.014908000000000029
Venky's (India) Ltd.,523261,-0.019152999999999882
Welspun India Ltd.,514162,-0.030044000000000088
Torrent Power Ltd.,532779,-0.03280299999999988
CARE Ratings Ltd.,534804,-0.03622899999999994
IDFC Ltd.,532659,-0.04034199999999997
Lakshmi Machine Works Ltd.,500252,-0.0505225
Equitas Holdings Ltd.,539844,-0.0528
Cochin Shipyard Ltd.,540678,-0.06509800000000003
Muthoot Finance Ltd.,533398,-0.08888200000000011
IRB Infrastructure Developers Ltd.,532947,-0.11273800000000003
Whirlpool Of India Ltd.,500238,-0.1254290000000001
TVS Srichakra Ltd.,509243,-0.12996550000000004
BEML Ltd,500048,-0.15916600000000006
NCC Ltd.,500294,-0.18163800000000002
CreditAccess Grameen Ltd.,541770,-0.19545399999999993
RBL Bank Ltd.,540065,-0.2583875
UCO Bank,532505,-0.2648125
Future Retail Ltd.,540064,-0.36249400000000004
