Predicted Values,Actual Values
[-0.00186578],[-0.0057273]
[-0.00143018],[0.00321104]
[-0.00084547],[0.01449008]
[0.00101579],[0.05062352]
[0.0032144],[-0.04877518]
[-0.00188351],[0.01062037]
[-0.00294154],[0.01923426]
[-0.00125233],[-0.00488908]
[0.00074011],[0.00780048]
[0.00153425],[0.0156105]
[-0.00127646],[-0.02689082]
[0.00069365],[0.00370776]
[0.00214029],[-0.04395291]
[0.00025059],[-0.00542952]
[0.00025548],[-0.00780973]
[-0.00092541],[0.00085871]
[0.00011218],[0.00729157]
[-0.00153658],[0.00302439]
[0.00087291],[-0.00507328]
[-0.0025658],[0.01280306]
[7.2732746e-06],[0.02225192]
[-0.00107915],[0.00993443]
[0.00014174],[-0.00767263]
[0.00504098],[0.05880788]
[-0.00182005],[-0.00764634]
[0.00026895],[0.01992577]
[-0.00414426],[0.03896924]
[-0.00134088],[-0.037263]
[-0.00178261],[-0.00010416]
[0.00101064],[-0.00491882]
[-0.00066697],[0.00029318]
[0.00372867],[0.00427168]
[-0.00244815],[-0.01702004]
[-0.00682848],[-0.00069391]
